snap(-9,-9,-9)
sky(162,191,217)
fog(203,213,213)
clouds(255,255,255,4,-1500)
ground(200,209,210)
set(60,-8411,-9847,180)
set(57,-8411,-12638,0)
set(56,-8411,-15439,0)
set(56,8105,-32715,90)
set(57,5588,-32515,90)
set(58,2303,-32515,90)
set(59,-794,-32515,90)
set(61,-3033,-32515,-90)
set(61,-5833,-32515,-90)
set(59,-8072,-32515,-90)
set(58,-11169,-32515,-90)
set(57,-14454,-32515,-90)
set(56,-17255,-32515,-90)
set(56,-6870,1407,180)
set(57,-6870,-1394,180)
set(60,-6870,-4185,180)
set(60,-6870,-6985,180)
set(60,-6870,-9785,180)
set(57,-6870,-12576,0)
set(56,-6870,-15377,0)
set(23,14376,-18960,-90)

maxl(19,-62178,-47344)
maxb(18,-49744,-59778)
maxr(19,24221,-47344)
maxt(18,41456,-59778)
