snap(14,13,14)
sky(191,215,255)
fog(195,207,230)
clouds(252,252,252,2,-1203)
ground(192,194,202)
set(60,-29200,-1510,-90)
set(60,-29192,-2280,-90)
set(60,-31992,-2280,-90)
set(60,-32000,-1510,-90)
set(60,-31992,-720,-90)
set(60,-34792,-720,-90)
set(60,-34800,-1510,-90)
set(60,-34792,-2280,-90)
set(60,-37592,-2280,-90)
set(60,-37600,-1510,-90)
set(60,-37592,-720,-90)
set(60,-40392,-720,-90)
set(60,-40400,-1510,-90)
set(60,-40392,-2280,-90)
set(60,-43192,-2280,-90)
set(60,-43200,-1510,-90)
set(60,-43192,-720,-90)
set(60,-45992,-720,-90)
set(60,-46000,-1510,-90)
set(60,-45780,-2280,-90)
set(60,-45992,-2280,-90)
set(57,-48783,-2280,-90)
set(57,-48791,-1510,-90)
set(57,-48783,-720,-90)
set(10,-56590,-1510,-90)
set(56,-51584,-720,-90)
set(56,-51592,-1510,-90)
set(56,-51584,-2280,-90)
set(14,-61140,-1510,90)
set(10,-61140,3040,180)
set(10,-61140,8640,180)
set(13,-62660,8670,210)
set(14,-64180,13250,-90)
set(10,-68730,13250,-90)
set(14,-73280,13250,0)
set(14,-73280,13250,-90)
set(10,-73280,8700,0)
set(10,-73280,3100,0)
set(23,-73280,1534,0)
set(46,-71530,3158,0)
set(46,-71530,8758,0)
set(46,-74914,3068,0)
set(46,-74914,8668,0)
set(46,-69418,11500,90)
set(46,-68088,11500,90)
set(10,-62190,-1510,90)
set(11,-73390,-1510,90)
set(11,-67790,-1510,90)
set(10,-61140,14240,180)
set(12,-59620,31070,150)
set(12,-56580,36730,150)
set(12,-53540,42390,150)
set(14,-52020,46970,-90)
set(10,-56570,46970,-90)
set(10,-62170,46970,-90)
set(10,-67770,46970,-90)
set(10,-73370,46970,-90)
set(14,-58100,35650,-90)
set(14,-58100,32150,180)
set(10,-62650,32150,-90)
set(10,-62650,35650,-90)
set(10,-68250,35650,-90)
set(10,-68250,32150,-90)
set(10,-73850,32150,-90)
set(10,-73850,35650,-90)
set(14,-77920,46970,0)
set(10,-77920,42420,0)
set(10,-77920,25620,0)
set(10,-77920,20020,0)
set(14,-77920,13220,90)
set(10,-77920,17770,180)
set(10,-73370,13220,-90)
set(23,-75149,35650,-90)
set(23,-75067,32150,-90)
set(11,-77920,31220,0)
set(11,-77920,36820,0)
set(46,-73781,33900,90)
set(46,-68181,33900,90)
set(46,-62581,33900,90)
set(46,-73928,30424,90)
set(46,-68328,30424,90)
set(46,-64532,30424,90)
set(46,-74034,37435,90)
set(46,-68434,37435,90)
set(46,-62834,37435,90)
set(46,-60744,37435,90)
set(14,-77920,26670,90)
set(20,-73370,26670,90)
set(38,-76444,26670,90)
set(15,-67770,26670,90)
set(17,-63220,26670,-90)
set(15,-63220,22120,0)
set(17,-63220,17570,180)
set(17,-66720,17570,90)
set(15,-66720,22120,180)
set(24,-66720,24729,0)
set(15,-67770,17570,90)
set(17,-72320,17570,90)
set(16,-72320,22120,180)
set(24,-72320,24920,0)
set(17,-72320,21070,0)
set(44,-67770,21070,90)
set(24,-64970,21070,-90)
set(14,-77940,-1510,90)
set(10,-77940,3040,180)
set(10,-77940,8640,180)
set(10,-77940,14240,180)
set(11,-61140,19840,180)
set(11,-61140,25440,180)
set(61,-18514,-482,180)
set(61,-18514,-2910,180)
set(61,-54156,-390,180)
set(61,-54156,-2736,180)
set(14,-55060,41310,-90)
set(12,-59640,42830,-120)
set(11,-65270,44350,-90)
set(11,-70870,44350,-90)
set(10,-74444,44366,-90)
set(36,-4771,30400,0)
set(36,-10651,34392,180)
set(36,-8691,34392,180)
set(36,-6731,34392,180)
set(36,-4771,34392,180)
set(36,-2811,34392,180)
set(36,-851,34392,180)
set(36,1109,34392,180)
set(36,3069,34392,180)
set(36,5029,34392,180)
set(36,6989,34392,180)
set(36,8949,34392,180)
set(36,10909,34392,180)
set(36,-8691,30400,0)
set(36,-6731,30400,0)
set(36,-2811,30400,0)
set(36,-851,30400,0)
set(36,1109,30400,0)
set(36,3069,30400,0)
set(36,5029,30400,0)
set(36,6989,30400,0)
set(36,8949,30400,0)
set(36,10909,30400,0)
set(36,12890,32416,90)
pile(1825,5,3,-70360,24570)
pile(118,5,3,-69070,23400)
pile(6646,5,3,-69460,23340)
pile(7853,5,3,-74460,25020)
pile(8130,5,4,-64790,19290)
pile(8952,5,4,-63590,28710)
set(72,-79220,46640,0)
set(72,-79700,44780,90)
set(71,-71070,48140,180)
set(71,-63830,48080,-90)
set(71,-75990,48200,0)
set(71,-53760,48010,90)
set(71,-13164,13760,-90)
set(70,-9348,12824,0)
set(70,-11328,10880,90)
set(70,-13128,7568,180)
set(70,-9444,4424,-90)
set(70,-8220,7052,0)
set(70,-12072,2264,90)
set(70,-9264,-1136,180)
set(70,-11496,-2900,-90)
set(70,-6348,304,0)
set(70,2988,-2140,90)
set(70,2052,-88,180)
set(70,8568,2288,-90)
set(70,10368,-2716,0)
set(70,17904,9324,90)
set(70,21504,13268,180)
set(70,26600,-3168,-90)
set(70,39568,664,0)
set(70,33736,880,90)
set(70,37156,8404,180)
set(70,6000,11825,-90)
set(70,-225,12350,0)
set(72,-12885,17095,90)
set(72,-10115,28730,180)
set(72,-12005,27290,-90)

maxl(18,-82118,-33317)
maxb(28,-35717,-79718)
maxr(18,52281,-33317)
maxt(28,50682,-79718)
