snap(0,0,0)
sky(191,215,255)
fog(195,207,230)
clouds(255,255,255,5,-1000)
ground(192,194,202)
set(49,-594,42660,90)
set(49,-858,43538,90)
set(49,-891,43868,90)
chk(40,0,72925,90)
set(23,0,-1137,0)p
set(49,-700,2464,0)
set(49,700,2464,180)
set(49,700,-244,180)
set(49,-700,-244,0)
set(49,0,-1630,90)
set(49,0,6075,90)
set(49,-25,11500,90)
set(49,-25,12050,90)
set(49,125,17200,90)
set(49,75,17450,90)
set(49,-250,22500,90)
set(49,-150,23050,90)
set(49,-500,28050,90)
set(49,-350,28475,90)
set(49,-625,33900,90)
set(49,-726,39457,90)
set(49,-693,39886,90)
set(49,-404,44952,90)
set(49,-404,45560,90)
set(49,-340,46168,90)
set(49,-372,46616,90)
set(49,-436,47128,90)
set(49,-372,47608,90)
set(49,-436,48056,90)
set(49,-308,48664,90)
set(49,-340,49336,90)
set(49,-180,49944,90)
set(49,-116,50552,90)
set(49,-276,51160,90)
set(49,44,51960,90)
set(49,-404,51384,90)
set(49,-276,52376,90)
set(49,-244,52860,90)
set(49,-180,53532,90)
set(49,-404,53084,90)
set(49,-212,54044,90)
set(49,-116,54364,90)
set(49,-276,54780,90)
set(49,-220,55316,90)
set(49,-276,55708,90)
set(49,-220,56212,90)
set(49,-84,56636,90)
set(49,-308,56892,90)
set(49,-180,57212,90)
set(49,-116,57724,90)
set(49,-84,58204,90)
set(49,-50,58800,90)
set(49,-25,59275,90)
set(49,-25,59575,90)
set(49,-100,59875,90)
set(49,-50,60600,90)
set(49,-25,60175,90)
set(49,-100,60875,90)
set(49,-125,61175,90)
set(49,-200,61775,90)
set(49,-125,62075,90)
set(49,-125,62650,90)
set(49,-300,63325,90)
set(49,-275,63700,90)
set(49,-175,63950,90)
set(49,-300,64475,90)
set(49,0,65200,90)
set(49,-150,64750,90)
set(49,0,65750,90)
set(49,-75,66075,90)
set(49,-100,66575,90)
set(49,-125,67225,90)
set(49,-100,67625,90)
set(49,-150,68100,90)
set(49,-200,68675,90)
set(49,-100,69250,90)
set(49,-25,69875,90)
set(49,0,70325,90)
set(49,-75,70700,90)
set(49,-25,71400,90)
set(49,-100,71825,90)
set(49,50,72225,90)
set(49,-25,73075,90)
set(49,175,72575,90)
set(49,50,73575,90)
set(49,-392,74172,90)
set(49,-520,74844,90)
set(49,-520,75516,90)
set(49,-584,75996,90)
set(49,-616,76572,90)
set(49,-436,77136,90)
set(49,-500,77712,90)
set(49,-468,78224,90)
set(49,-436,78704,90)
set(49,-660,79024,90)
set(49,-500,79312,90)
set(49,-404,79888,90)
set(49,-372,80504,90)
set(49,-468,81176,90)
set(49,-404,81752,90)
set(49,-436,82200,90)
set(49,-372,82616,90)
set(49,-340,83096,90)
set(49,-532,83704,90)
set(49,-372,84344,90)
set(49,-308,83960,90)
set(49,-180,83448,90)
set(49,-372,84976,90)
set(49,-500,85456,90)
set(49,-244,85936,90)
set(49,-372,86352,90)
set(49,-308,86832,90)
set(49,-308,87312,90)
set(49,-340,87856,90)
set(49,-340,88380,90)
set(49,-340,88860,90)
set(49,-180,89260,90)
set(49,-380,89540,90)
set(49,-340,90220,90)
set(49,-380,89780,90)
set(49,-380,90780,90)
set(49,-340,91340,90)
set(49,-380,91820,90)
set(49,-420,92260,90)
set(49,-380,92740,90)
set(49,-420,93220,90)
set(49,-340,93580,90)
set(49,-300,94040,90)
set(49,-220,94560,90)
set(49,-340,95160,90)
set(49,-260,95600,90)
set(49,-300,96080,90)
set(49,-340,96600,90)
set(49,-300,97040,90)
set(49,-260,97560,90)
set(49,-220,98040,90)
set(49,-250,98575,90)
set(49,-200,98825,90)
set(49,-225,99175,90)
set(49,-150,99500,90)
set(49,-175,100025,90)
set(49,-225,100500,90)
set(49,-250,100975,90)
set(49,-225,101525,90)
set(49,-150,101975,90)
set(49,-100,102425,90)
set(49,-75,102975,90)
set(49,-75,103600,90)
set(49,-50,104150,90)
set(49,0,104733,90)
set(49,62,105322,90)
set(49,93,105973,90)
set(49,62,106531,90)
set(49,186,107275,90)
set(49,62,106810,90)
set(49,124,107826,90)
set(49,155,108229,90)
set(49,217,108694,90)
set(49,155,109252,90)
set(49,155,109810,90)
set(49,124,110182,90)
set(49,155,110771,90)
set(49,31,111112,90)
set(49,31,111601,90)
set(49,155,112097,90)
set(49,-31,112407,90)
set(49,-62,112934,90)
set(49,-62,113454,90)
set(49,-93,113826,90)
set(49,-75,114325,90)
set(49,-50,114775,90)
set(49,-375,115050,90)
set(49,-350,115875,90)
set(49,-400,115400,90)
set(49,-275,116325,90)
set(49,-225,116825,90)
set(49,-325,117400,90)
set(49,-275,117900,90)
set(49,-325,118400,90)
set(49,-250,119000,90)
set(49,-275,119750,90)
set(49,-150,119400,90)
set(49,-450,120200,90)
set(49,100,120775,90)
set(49,-350,121150,90)
set(49,-450,120775,90)
set(49,-250,121350,90)
set(49,-500,121825,90)
set(49,-375,122450,90)
set(49,-325,123000,90)
set(49,-250,123475,90)
set(49,-275,124000,90)
set(49,-225,124375,90)
set(49,-150,124925,90)
set(49,-100,125375,90)
set(49,-50,125850,90)
set(49,-75,126400,90)
set(49,-125,126950,90)
set(49,-50,127475,90)
set(49,0,128175,90)
set(49,-75,128650,90)
set(49,-25,129150,90)
set(49,125,129625,90)
set(49,100,130100,90)
set(49,0,130450,90)
set(49,50,130775,90)
set(49,150,131150,90)
set(49,175,131550,90)
set(49,25,131950,90)
set(49,150,132450,90)
set(49,100,133000,90)
set(49,150,133550,90)
set(49,100,134100,90)
set(49,200,134600,90)
set(49,225,135000,90)
set(49,375,135450,90)
set(49,525,136600,90)
set(49,400,136025,90)
set(49,525,136825,90)
set(49,400,137300,90)
set(49,325,137825,90)
set(49,150,138250,90)
set(49,154,138796,90)
set(49,198,139456,90)
set(49,132,140028,90)
set(49,154,140402,90)
set(49,286,141084,90)
set(49,22,140666,90)
set(49,110,139148,90)
set(49,88,141712,90)
set(49,198,142284,90)
set(49,88,142702,90)
set(49,242,143208,90)
set(49,154,143648,90)
set(49,308,144374,90)
set(49,22,143890,90)
set(49,154,144770,90)
set(49,88,145210,90)
set(49,-88,145838,90)
set(49,-154,146388,90)

maxl(32,-4800,-2021)
maxb(2,-4421,-2400)
maxr(32,4800,-2021)
maxt(2,149179,-2400)
